geometry,beta,criterion,metric,real,fft_phase_mean,fft_phase_sd,z_vs_fft_phase,exceed_vs_fft_phase
cubic,5.0,score_q,same_shell_mean,0.9565691492899099,0.9776408244496552,0.017411100047932653,-1.2102437583222685,0.125
cubic,5.0,score_q,deficit_fill_mean,-0.003876285154586263,-0.005704053623266587,0.010830512340679955,0.16876103466004758,0.625
cubic,5.0,score_q,completion_gain_mean,0.002623662697178747,0.005695255951158791,0.002134941128379361,-1.4387250363540343,0.125
cubic,5.0,score_q,same_sector_outer,0.749646749883938,0.6953283332770945,0.24116632304854618,0.22523217968407658,0.25
cubic,5.0,score_q,same_shell_outer,0.8634750244811191,0.9607948809373981,0.05628639503578661,-1.729012071081732,0.125
cubic,5.0,score_q,deficit_fill_outer,0.013869035386270906,0.0006894810557874398,0.022944809465281865,0.5744024307480629,0.875
cubic,5.0,score_q,completion_gain_outer,-0.005855881778882299,0.006100779327756384,0.004879237430250949,-2.4505184006946776,0.0
cubic,5.0,score_q,outer_radius,10.596833766682542,9.735558496278307,0.29012413100182566,2.9686440332529482,1.0
cubic,5.0,score_q,outer_gap,4.074180401925145,3.6897362381434196,0.5073210488070815,0.7577926535572541,0.625
cubic,5.0,score_iso,n_valid_bands,5.0,7.5,0.5,-4.99999999999,0.0
cubic,5.0,score_iso,same_sector_mean,0.8492921033365247,0.758941360319165,0.04034685542729709,2.2393503052035273,1.0
cubic,5.0,score_iso,same_shell_mean,0.9565691492899099,0.9737464222739964,0.006045942778111069,-2.8411239754756856,0.0
cubic,5.0,score_iso,deficit_fill_mean,-0.003876285154586263,-0.0016580068330656322,0.004049004522422201,-0.5478577039587379,0.375
cubic,5.0,score_iso,completion_gain_mean,0.002623662697178747,0.004707725129180069,0.0019750379271472537,-1.0552012203412933,0.25
cubic,5.0,score_iso,same_sector_outer,0.749646749883938,0.6318496838605434,0.19711906428520962,0.5975934719959789,0.625
cubic,5.0,score_iso,same_shell_outer,0.8634750244811191,0.9647466384677975,0.021487921407020397,-4.712955341919606,0.0
cubic,5.0,score_iso,deficit_fill_outer,0.013869035386270906,-0.0076571931088544746,0.02513033647365264,0.8565833774982483,0.875
cubic,5.0,score_iso,completion_gain_outer,-0.005855881778882299,0.00041275471110061067,0.004218536614643568,-1.4859741804153057,0.125
cubic,5.0,score_iso,outer_radius,10.596833766682542,10.100723034250027,0.2679261794775591,1.8516694911936218,1.0
cubic,5.0,score_iso,outer_gap,4.074180401925145,3.683139027414075,0.9281438624610532,0.42131547740214387,0.75
cubic,5.0,q_only,n_valid_bands,8.0,7.5,0.5,0.999999999998,0.5
cubic,5.0,q_only,same_sector_mean,0.740313108894672,0.7151308646393071,0.05162788139023799,0.487764432255759,0.5
cubic,5.0,q_only,same_shell_mean,0.9791934500143313,0.9754495794713602,0.009620395705042898,0.3891597245443285,0.625
cubic,5.0,q_only,deficit_fill_mean,-0.016016547871308004,-0.007386958575022802,0.009887083526633728,-0.8728144424153073,0.375
cubic,5.0,q_only,completion_gain_mean,0.008636616179404154,0.0051284463531290885,0.0015913968686028267,2.204459423846057,1.0
cubic,5.0,q_only,same_sector_outer,0.8824674803846553,0.5827306644173991,0.2421147204662914,1.2379950107484246,0.875
cubic,5.0,q_only,same_shell_outer,0.9755891278845521,0.9406523404933324,0.04251617111707216,0.8217293907816012,0.625
cubic,5.0,q_only,deficit_fill_outer,-0.030570410213624784,-0.007929782923264435,0.018220114161625302,-1.2426172025202122,0.125
cubic,5.0,q_only,completion_gain_outer,0.0074861819636235245,0.0032778790073716216,0.0026734119212970136,1.5741318878521722,0.75
cubic,5.0,q_only,outer_radius,10.179169928788758,10.175319033266387,0.5651248475593454,0.006814238550994922,0.625
cubic,5.0,q_only,outer_gap,3.0373287462615117,4.27622517949327,1.3334548028579953,-0.9290876830437005,0.25
cubic,5.0,xyz_only,n_valid_bands,5.0,7.25,0.6614378277661477,-3.4016802570779023,0.0
cubic,5.0,xyz_only,same_sector_mean,0.8492921033365247,0.7464782002232173,0.048391818476733475,2.124613340592174,1.0
cubic,5.0,xyz_only,same_shell_mean,0.9565691492899099,0.9782670757967622,0.01009503599112932,-2.1493659382462122,0.0
cubic,5.0,xyz_only,deficit_fill_mean,-0.003876285154586263,-0.003797543714438448,0.003900348924686939,-0.020188306648474274,0.625
cubic,5.0,xyz_only,completion_gain_mean,0.002623662697178747,0.005749506337027583,0.002393095847392662,-1.306192412622473,0.0
cubic,5.0,xyz_only,same_sector_outer,0.749646749883938,0.6652898009914223,0.25244592644627506,0.3341584872439372,0.5
cubic,5.0,xyz_only,same_shell_outer,0.8634750244811191,0.9762429381635016,0.013231632482290468,-8.522600202566927,0.0
cubic,5.0,xyz_only,deficit_fill_outer,0.013869035386270906,0.005841946967388189,0.027992771159990167,0.28675576178999423,0.75
cubic,5.0,xyz_only,completion_gain_outer,-0.005855881778882299,0.004882115451278148,0.005863824132782144,-1.8312277082625394,0.0
cubic,5.0,xyz_only,outer_radius,10.596833766682542,9.700979365725576,0.3292327377379679,2.7210368176303397,1.0
cubic,5.0,xyz_only,outer_gap,4.074180401925145,3.823715779392313,0.5516008060902667,0.45406863036996836,0.625
cubic,10.0,score_q,n_valid_bands,8.0,7.375,0.8569568250501305,0.7293249574886218,0.625
