geometry,beta,criterion,metric,real,fft_phase_mean,fft_phase_sd,z_vs_fft_phase,exceed_vs_fft_phase,n_sur_valid
cubic,1.5,score_q,carrier_vs_space_sector,-0.26923535735438403,-0.060692946213202204,0.18946769959143558,-1.1006752686066168,0.16666666666666666,12
cubic,1.5,score_q,n_band,40.0,29.166666666666668,7.851043808875918,1.3798589839843254,0.9166666666666666,12
cubic,1.5,score_q,inner_r,2.598076211353316,7.130893019407647,1.6607954668410918,-2.729304660659524,0.0,12
cubic,1.5,score_q,outer_r,3.1622646657903473,9.820144985738917,1.183717056682629,-5.624553842792193,0.0,12
cubic,1.5,score_q,gap,0.5641884544370313,2.68925196633127,0.9117148660637427,-2.3308422303858034,0.0,12
cubic,1.5,score_q,bw_selected,0.03,0.011666666666666667,0.005137011669140814,3.568871264182038,1.0,12
cubic,1.5,score_iso,same_sector,0.3560241046865898,0.6728980588449996,0.14740897746292267,-2.149624531762067,0.0,12
cubic,1.5,score_iso,same_shell,0.965508777701428,0.96395586162294,0.05293050589065344,0.029338772647794237,0.25,12
cubic,1.5,score_iso,deficit_fill,0.04641959331874013,-0.06196763840818718,0.03815819000058546,2.8404709899086895,1.0,12
cubic,1.5,score_iso,completion_gain,-0.0013470705412607798,0.00027596633099462997,0.0007291500255577658,-2.2259299364186846,0.0,12
cubic,1.5,score_iso,carrier_vs_space_sector,-0.26923535735438403,-0.016857113765889914,0.21068772695418553,-1.1978782401605026,0.16666666666666666,12
cubic,1.5,score_iso,n_band,40.0,27.083333333333332,6.550551291473278,1.9718442146202355,1.0,12
cubic,1.5,score_iso,inner_r,2.598076211353316,6.398084632992252,1.5841626424844815,-2.398748916132052,0.0,12
cubic,1.5,score_iso,outer_r,3.1622646657903473,9.101211145618825,0.9401440116048391,-6.317060372149045,0.0,12
cubic,1.5,score_iso,gap,0.5641884544370313,2.7031265126265733,0.8097210676571533,-2.64157392418565,0.0,12
cubic,1.5,score_iso,bw_selected,0.03,0.010416666666666666,0.0047689679759414984,4.10640906544581,1.0,12
