geometry,beta,criterion,kind,level,gap,inner_r,outer_r,inner_count,outer_count,same_sector,same_shell,deficit_fill,completion_gain
cubic,0.0,score_iso,fft_phase_0,0.15,3.6991371332594225,5.569435070217625,9.268572203477047,85.0,112.0,0.8776978450424323,0.9785147082133526,0.008810717970119071,0.0064084942535325325
cubic,0.0,score_iso,fft_phase_0,0.25,3.4416766643965397,5.9589940462149995,9.40067071061154,74.0,106.0,0.9232550285391982,0.9718799040139334,-0.006714785318213394,0.011024238277718808
cubic,0.0,score_iso,fft_phase_0,0.35,3.568101768516133,5.813841609856386,9.381943378372519,35.0,52.0,0.8678852229453795,0.9875910876904593,-0.0132298627695012,0.005675776332133891
cubic,0.0,score_iso,fft_phase_0,0.44999999999999996,3.3528484890610324,5.9395803381935925,9.292428827254625,28.0,33.0,0.7770060958971106,0.9819141562321472,-0.0029009426406521113,0.007168630863878247
cubic,0.0,score_iso,fft_phase_0,0.5499999999999999,3.4510306786377836,6.669467616565871,10.120498295203655,19.0,19.0,0.6257626663721813,0.9460699851068757,0.004678569370682117,-0.0012782945637453682
cubic,0.0,score_iso,fft_phase_0,0.65,3.874440410593186,6.5585132775352,10.432953688128386,10.0,10.0,0.35630373797813314,0.9486643057075509,0.019008841474307044,0.004932541921067759
cubic,0.0,score_iso,fft_phase_1,0.05,3.6509364054333613,5.577809115348581,9.228745520781942,91.0,136.0,0.9076784638812272,0.9827140312110277,-0.006605373013250378,-0.004315641344133505
cubic,0.0,score_iso,fft_phase_1,0.15,4.260588937466119,4.743189133526766,9.003778070992885,60.0,152.0,0.8918816864729977,0.9559672385389429,0.000662327053501284,0.010781052372851888
cubic,0.0,score_iso,fft_phase_1,0.25,3.5580011906455713,6.205356076585273,9.763357267230845,86.0,84.0,0.8700529939236767,0.9735526796965928,0.008807015270955475,-0.0007714146622681932
cubic,0.0,score_iso,fft_phase_1,0.35,3.9137432832702164,5.614436459916025,9.528179743186241,54.0,52.0,0.8725261724331572,0.9695954366009482,-0.0039194952230726665,0.009191755404268998
cubic,0.0,score_iso,fft_phase_1,0.44999999999999996,3.1319510856499218,6.296769880459758,9.42872096610968,45.0,50.0,0.8311682594722979,0.9867786412295826,-0.012460790353475904,0.009735183195366464
cubic,0.0,score_iso,fft_phase_1,0.5499999999999999,3.3136972632488026,5.074690727025362,8.388387990274165,13.0,17.0,0.2832017839726544,0.9990737621356528,0.03907091395355448,0.00534250710059726
