geometry,beta,criterion,kind,valid,target,bw,n_band,inner_count,outer_count,inner_r,outer_r,gap,same_sector,same_shell,deficit_fill,completion_gain,carrier_vs_space_sector,bw_selected
tet_1.10,1.5,q_only,fft_phase_10,True,0.75,0.01,42.0,16.0,26.0,4.642748665326046,9.557674818429058,4.914926153103012,0.2549611335701974,0.9355569191939687,0.02897021549180546,0.0002584973108449662,-0.40788152458789945,0.01
tet_1.10,1.5,q_only,fft_phase_11,True,0.75,0.01,27.0,12.0,15.0,6.619637227779861,9.29022574745336,2.6705885196734984,0.6605780892550597,0.9974562315378507,-0.06347933081394995,0.00016906526417406634,-0.1100945941842848,0.01
tet_1.10,1.5,xyz_only,real,True,0.75,0.02,128.0,32.0,96.0,6.866989133465962,10.243668312439176,3.3766791789732142,0.9844895314382409,0.9978474934237131,-0.04034264254429499,0.00356958213969202,0.012706444566220165,0.02
tet_1.10,1.5,xyz_only,fft_phase_0,True,0.75,0.03,35.0,23.0,12.0,7.940632415482054,10.91974909941839,2.9791166839363354,0.5103965043751437,0.9024239832138374,0.016402522637674485,-1.9679583434662872e-05,-0.108588865751711,0.03
tet_1.10,1.5,xyz_only,fft_phase_1,False,,,,,,,,,,,,,,
tet_1.10,1.5,xyz_only,fft_phase_2,True,0.75,0.02,20.0,11.0,9.0,4.95409808686371,7.938071280371847,2.9839731935081373,0.17959211746619472,0.9493713083066699,0.05912373129845896,0.0007925312779461116,-0.5728869739273853,0.02
tet_1.10,1.5,xyz_only,fft_phase_3,True,0.75,0.02,36.0,17.0,19.0,6.298996374788754,9.936539526796121,3.6375431520073676,0.5955712296584785,0.9446106092528179,-0.031180258292026034,0.004506866962645841,-0.16836814627962182,0.02
tet_1.10,1.5,xyz_only,fft_phase_4,True,0.75,0.02,34.0,16.0,18.0,5.423894934005981,9.550170462874998,4.126275528869018,0.3089569320551927,0.976424145427293,0.04364114930869537,0.006376825881882733,-0.47054941213161816,0.02
tet_1.10,1.5,xyz_only,fft_phase_5,True,0.75,0.01,18.0,10.0,8.0,7.236816660526484,9.53163516398575,2.2948185034592665,0.35241749930892013,0.9354930451270085,0.05227234560799979,0.0013531459940231503,-0.32189618326769914,0.01
tet_1.10,1.5,xyz_only,fft_phase_6,True,0.75,0.03,25.0,12.0,13.0,5.587427148409197,8.746105338296928,3.1586781898877314,0.18436694343718463,0.9976482036523667,0.010600062949819997,0.0003345169832886868,-0.4453465389495542,0.03
tet_1.10,1.5,xyz_only,fft_phase_7,True,0.75,0.02,29.0,15.0,14.0,5.9032361001286455,8.016804103778925,2.11356800365028,0.7240140375249627,0.9852227251314238,-0.028730587519658995,0.0003347913324791857,-0.07788532556529848,0.02
tet_1.10,1.5,xyz_only,fft_phase_8,True,0.75,0.02,23.0,8.0,15.0,5.659864637955216,9.433653095564136,3.7737884576089193,0.5811632265074873,0.78880632298858,-0.022340487648994694,0.0026364663209637717,-0.17308571155548613,0.02
tet_1.10,1.5,xyz_only,fft_phase_9,True,0.75,0.02,26.0,13.0,13.0,5.2882935007674154,8.622386099621478,3.3340925988540624,0.17376343837683741,0.9864327156893524,0.062996412455513,0.000592855118334137,-0.5306866688663098,0.02
tet_1.10,1.5,xyz_only,fft_phase_10,True,0.75,0.03,29.0,18.0,11.0,8.056916936945196,11.336217355711288,3.2793004187660912,0.4652204140811917,0.8933910202989072,-0.012081248058423977,9.771911205283805e-06,-0.2261975513091427,0.03
tet_1.10,1.5,xyz_only,fft_phase_11,True,0.75,0.02,24.0,13.0,11.0,7.093237139566759,9.095470983559435,2.002233843992676,0.40432860793644126,0.9938429119930376,-0.006478706435899092,0.0003280068172714307,-0.1976031242550686,0.02
tet_1.10,2.0,score_q,real,True,0.75,0.005,16.0,8.0,8.0,3.840572873934304,4.55521678957215,0.7146439156378457,0.8748273600644635,0.8645194968489588,-0.10811766671671205,-1.7722403503277033e-05,0.5152333051240237,0.005
tet_1.10,2.0,score_q,fft_phase_0,True,0.75,0.01,28.0,11.0,17.0,9.010469167088532,11.087859056978887,2.0773898898903553,0.5453970830667996,0.9765403533156801,-0.047564704641123716,0.0003039442052478826,-0.20555283510215094,0.01
tet_1.10,2.0,score_q,fft_phase_1,True,0.75,0.02,33.0,17.0,16.0,5.189270913900347,7.878817541450803,2.689546627550456,0.7903652090712512,0.9960735258774137,-0.09636157471415316,1.287786452592708e-06,0.16272166527785237,0.02
tet_1.10,2.0,score_q,fft_phase_2,True,0.75,0.01,29.0,14.0,15.0,5.142326345417231,7.515021056207236,2.3726947107900047,0.8688440927646629,0.9963678920301623,-0.11816278018497672,-3.7146608063484086e-05,0.3073196336225029,0.01
tet_1.10,2.0,score_q,fft_phase_3,True,0.75,0.005,30.0,16.0,14.0,7.013254818959841,9.937463404018912,2.9242085850590707,0.6815245593392618,0.9811022045103266,-0.08532902605721565,0.0021874735485817275,0.11948919801645297,0.005
tet_1.10,2.0,score_q,fft_phase_4,True,0.75,0.01,32.0,16.0,16.0,9.361044722238722,11.363450768496797,2.0024060462580753,0.2360086815940377,0.9963137371655453,0.04698520526699611,0.004677728312934199,-0.5017179445248474,0.01
