beta,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
2.0,0.61,0.709967806330103,-0.11962711982188154,274.8074059663284,-2.0609145169540692,136.37324572468717,0.7338709677419355,0.0033870967741935483,5.969814862945534,9.102103453471623,3.1322885905260884
2.0,0.62,0.7180566650469097,-0.12974408218978925,7.922884191922835,3.636597032325099,5.779740612123966,0.717741935483871,0.003709677419354839,6.098598935978543,9.022894294024853,2.92429535804631
2.0,0.63,0.7707643514392146,-0.08662598513680721,19713444113.59256,12944132465.817179,16328788289.70487,0.8235294117647058,0.004705882352941177,6.485481433701733,8.485816992562238,2.0003355588605043
2.0,0.64,0.7526901614224442,-0.037131505309055575,22081197961.93016,13003047042.828676,17542122502.37942,0.8014705882352942,0.00438235294117647,6.488667283123458,8.633045627455576,2.144378344332118
2.0,0.65,0.7915235055762948,-0.006443112010150298,47726715618.11642,31570909005.67806,39648812311.89724,0.8382352941176471,0.004970588235294118,6.059205522621976,8.278273822323824,2.2190682997018465
2.0,0.66,0.7507543134914085,-0.04381458626219899,16421926319.804325,8046546523.650004,12234236421.727163,0.7720588235294118,0.004941176470588235,5.635598248581913,7.870813533856693,2.2352152852747795
2.0,0.67,0.7284783005789559,-0.06674650749082418,26161715544.311977,9441472503.056517,17801594023.684246,0.7426470588235294,0.003970588235294118,5.437490566596521,8.191538068196165,2.754047501599644
2.0,0.68,0.6207592674686899,-0.14820119046185218,37439914385.34612,10912879005.340767,24176396695.34345,0.6111111111111112,0.005611111111111112,5.193164317906188,7.990862414263161,2.797698096356973
2.0,0.69,0.6843851179151746,-0.13341733886034646,50715142182.56531,15186284272.062155,32950713227.313736,0.7013888888888888,0.005138888888888889,5.576444487670861,7.878093180329889,2.3016486926590267
2.0,0.7,0.618156177041045,-0.1726390499161018,76486072608.3542,21420586826.889465,48953329717.62184,0.625,0.006138888888888889,5.6605902003222,7.9835562904116415,2.3229660900894413
2.0,0.71,0.7776440204358654,-0.050329381057126234,91494293936.03806,63833721988.097336,77664007962.06769,0.7672413793103449,0.0047741935483870965,5.899951667590721,8.63848327628794,2.7385316086972202
2.0,0.72,0.7713702329963307,-0.057707927523695,59430920767.84144,23278445858.35778,41354683313.09961,0.6583333333333333,0.005352941176470588,5.566621681598499,8.111922610112973,2.545300928514473
2.0,0.73,0.7309888405641779,-0.05264014162825175,98246036361.66052,44578603999.215195,71412320180.43787,0.71875,0.004941176470588235,5.284931439607696,7.866114570572671,2.581183130964975
2.0,0.74,0.746003900241943,-0.05135465432872114,90646441288.14172,45754994634.41933,68200717961.280525,0.7592592592592593,0.005612903225806452,6.270445048189383,8.47127084345426,2.2008257952648766
2.0,0.75,0.6551759186281477,-0.12993607719361683,73288184055.82445,26799048401.5448,50043616228.68462,0.65,0.005323529411764706,5.93148976858552,7.958334422812201,2.026844654226681
2.0,0.76,0.699895659781363,-0.08876245027423814,74085679138.41621,25639631021.9223,49862655080.16926,0.6203703703703703,0.005393939393939394,5.478138566268563,7.9692120323330204,2.4910734660644565
