geometry,beta,criterion,winner_mode_index,winner_q,winner_exact_family,winner_support_family,real_exact,sur_exact_mean,sur_exact_std,z_exact,exact_exceed,sur_exact_p95,triads_exact,eligible_exact,real_support,sur_support_mean,sur_support_std,z_support,support_exceed,sur_support_p95,triads_support,eligible_support
tet_1.05,5.0,q_only,5,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.007501194522512903,0.6702104165480568,0.26542049415378904,-2.496827624919809,0.0,0.9979512420330118,3,3,0.005206361044344815,0.45573217074375855,0.2684587693385773,-1.6781936787080227,0.0,0.917916050059774,8,8
tet_1.05,5.0,xyz_only,9,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.999994697415476,0.47221165737134424,0.23927080082903338,2.2057979419688727,1.0,0.9089378419597353,3,3,0.330087791413386,0.24668979340977204,0.19415038816735244,0.4295535990960655,0.7083333333333334,0.6335950197924574,8,8
tet_1.05,10.0,score_q,5,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9215281478506835,0.9092009403717141,0.03732864072992176,0.3302345662095859,0.6458333333333334,0.9688198786765684,3,3,0.6432277147722195,0.36185079229252387,0.23756817347601936,1.18440495779168,0.8541666666666666,0.8361400707737674,8,8
tet_1.05,10.0,score_iso,7,X1+Y1+Z1,"3-axis:(1, 1, 1)",3-axis,0.9999772369718001,0.9999772369718,1.1102230246251565e-16,0.0001110099778791752,0.0,0.9999772369718001,1,1,0.39497208935785083,0.35890521766348055,0.2448070133906303,0.14732777135217226,0.6041666666666666,0.8125380512208285,8,8
tet_1.05,10.0,q_only,6,X1+Y2+Z2,"3-axis:(1, 2, 2)",3-axis,0.06644160174727141,0.6459734632564132,0.29646657743134375,-1.9547966132586938,0.0,0.9836716452817944,3,3,0.06208365697868274,0.3808328785146679,0.2573767110746941,-1.2384540163085755,0.08333333333333333,0.8140840703665199,8,8
tet_1.05,10.0,xyz_only,5,X1+Y1+Z2,"3-axis:(1, 1, 2)",3-axis,0.9215281478506835,0.9057249510503658,0.04198974595397329,0.3763584761209059,0.6458333333333334,0.9783881332767504,3,3,0.6432277147722195,0.3453937298654832,0.24653637334040265,1.208073197760141,0.8333333333333334,0.7593366969468791,8,8
tet_1.10,0.0,score_q,8,Y1,"1-axis:(1,)",1-axis,0.9989051587117911,0.5333063423636869,0.21040543057915773,2.212865015243634,1.0,0.8911478818861749,3,3,0.7392349511505361,0.329486682280169,0.2222234381091664,1.8438571212602515,0.9583333333333334,0.7128056323825493,6,6
tet_1.10,0.0,score_iso,8,Y1,"1-axis:(1,)",1-axis,0.9989051587117911,0.5067054134970855,0.25871070373753896,1.9025101710215202,1.0,0.9521426801911671,3,3,0.7392349511505361,0.34653963542160277,0.26593795864256753,1.4766425888650845,0.8541666666666666,0.8785748327945123,6,6
tet_1.10,0.0,q_only,8,Y1,"1-axis:(1,)",1-axis,0.9989051587117911,0.4735617543560873,0.21961037777507378,2.3921611067550335,1.0,0.8246466733885661,3,3,0.7392349511505361,0.333681277060085,0.2338498311159286,1.7342483086407183,0.9375,0.775904952991588,6,6
tet_1.10,0.0,xyz_only,8,Y1,"1-axis:(1,)",1-axis,0.9989051587117911,0.5371186675523952,0.22408843864637926,2.0607332263403966,1.0,0.9248184573772906,3,3,0.7392349511505361,0.33648527115850474,0.2450064149930172,1.643833203313742,0.8958333333333334,0.8010651651894235,6,6
