geometry,beta,null_type,draw,real_consensus_family,real_consensus_q,surrogate_consensus_family,surrogate_consensus_q,family_match_real,q_match_real,surrogate_consensus_strength,surrogate_q_consensus_strength,real_mean_winner_q_contrast,real_mean_winner_xyz,surrogate_mean_winner_q_contrast,surrogate_mean_winner_xyz
cubic,0.0,fft_phase,1,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940954,0.00011661834664442734
cubic,0.0,fft_phase,2,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940962,0.00011451615383133871
cubic,0.0,fft_phase,3,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940954,0.0001133057138850633
cubic,0.0,fft_phase,4,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940948,0.000114429538212822
cubic,0.0,fft_phase,5,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940957,0.00011307034889186882
cubic,0.0,fft_phase,6,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940965,0.00011380751118577621
cubic,0.0,fft_phase,7,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940962,0.0001127122007366946
cubic,0.0,fft_phase,8,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940954,0.00011625686508722824
cubic,0.0,fft_phase,9,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940954,0.00011426108472390688
cubic,0.0,fft_phase,10,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940962,0.0001127122007366946
cubic,0.0,fft_phase,11,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940957,0.00011467790719951168
cubic,0.0,fft_phase,12,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940954,0.00011372123010847373
cubic,0.0,fft_phase,13,"1-axis:(1,)",Y1,"1-axis:(1,)",Y1,1.0,1.0,1.0,1.0,0.15139921439940957,0.00011271220073669466,0.15139921439940954,0.00011271220073669459
