geometry,beta,criterion,winner_mode_index,winner_q,winner_family,winner_q_contrast,winner_xyz,real_triad_all,sur_triad_all_mean,sur_triad_all_std,triad_all_z,triad_all_exceed,sur_triad_all_p95,real_triad_topk,sur_triad_topk_mean,sur_triad_topk_std,triad_topk_z,triad_topk_exceed,sur_triad_topk_p95
tet_1.05,0.0,score_iso,8,Y1,"1-axis:(1,)",0.15139921439941914,0.0001127122007366943,0.45271029907149335,0.2309926331607196,0.16380862822908038,1.3535164069584673,0.890625,0.5613033657294293,0.7530638144635036,0.32852257426228343,0.25548696497295165,1.661694326536403,0.890625,0.7679686142437715
tet_1.05,0.0,q_only,8,Y1,"1-axis:(1,)",0.15139921439941914,0.0001127122007366943,0.45271029907149335,0.19643074678440214,0.11559418641031671,2.217062641672794,0.96875,0.40202731305878,0.7530638144635036,0.28012722782768795,0.18273505264951762,2.5880999828769085,1.0,0.6413371334443975
tet_1.05,0.0,xyz_only,8,Y1,"1-axis:(1,)",0.15139921439941914,0.0001127122007366943,0.45271029907149335,0.2206472375259243,0.12554686883791605,1.8484177557890311,0.953125,0.4382254578536013,0.7530638144635036,0.28244833557780125,0.2088590219701042,2.253268613652765,0.953125,0.6570652149883368
tet_1.05,1.0,score_q,9,Z1,"1-axis:(1,)",0.08367645829554861,5.9334873195656675e-05,0.07313289092746184,0.10008692388645714,0.05487665388769276,-0.49117486306046687,0.3125,0.2068612523482191,0.30630989988050783,0.3223369175207276,0.19946605374315976,-0.08034960004160108,0.546875,0.6690877947880891
tet_1.05,1.0,score_iso,9,Z1,"1-axis:(1,)",0.08367645829554861,5.9334873195656675e-05,0.07313289092746184,0.08744544430520833,0.050851950927123746,-0.28145534471187644,0.5,0.19361966276027726,0.30630989988050783,0.25650131669594567,0.18030743106216887,0.276242542477976,0.703125,0.5783072294014009
tet_1.05,1.0,q_only,7,Z1,"1-axis:(1,)",0.14821682355612,2.590681502616611e-05,0.18796547515122747,0.13705976229750017,0.09862370053727103,0.5161610502941256,0.71875,0.31299827471809527,0.032497166772429815,0.3114792542844612,0.229824407864858,-1.2138923367741923,0.03125,0.770840611516243
tet_1.05,1.0,xyz_only,9,Z1,"1-axis:(1,)",0.08367645829554861,5.9334873195656675e-05,0.07313289092746184,0.0854479722735339,0.050503939841586805,-0.24384397305351474,0.515625,0.18125723308040043,0.30630989988050783,0.22851223057610093,0.15971398201455092,0.4871061902196637,0.71875,0.5183797670192067
tet_1.05,1.5,score_q,10,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12890825119873275,5.260391535850479e-05,0.4438240787036514,0.22795210140874214,0.14849893449907497,1.4536937791617641,0.90625,0.4664655651754085,0.48129440294930587,0.2574363772125211,0.17278132651056505,1.2956146955024153,0.875,0.5309220784032751
tet_1.05,1.5,score_iso,10,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12890825119873275,5.260391535850479e-05,0.4438240787036514,0.25882412699157353,0.17223975343156414,1.074083932571987,0.84375,0.5832863248042184,0.48129440294930587,0.29474923790605895,0.191286113077192,0.9752154092178812,0.84375,0.6540302375613233
tet_1.05,1.5,q_only,9,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.16494840579726497,1.5719142234752713e-05,0.3483821505288819,0.22810275996534016,0.1550568244725727,0.7757116848735779,0.75,0.5099885869869516,0.3891910121526927,0.3360688666645989,0.23513727042358798,0.225919716564588,0.6875,0.7450911668000225
tet_1.05,1.5,xyz_only,10,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.12890825119873275,5.260391535850479e-05,0.4438240787036514,0.31710928462181676,0.18165595964860443,0.6975537401924737,0.796875,0.5868316538199998,0.48129440294930587,0.3712207449693362,0.20470026001597835,0.5377309143175483,0.703125,0.6768040762271658
tet_1.05,2.0,score_q,5,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12453916455145728,6.809710828560379e-05,0.11300474689087613,0.12837282625116092,0.08809736149149969,-0.1744442637092279,0.546875,0.3000946119768242,0.0029582247931207555,0.2534383023278566,0.23789792417681713,-1.05288887408498,0.046875,0.7766351718087843
tet_1.05,2.0,score_iso,9,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.1294720987419297,6.360292352676029e-05,0.3964426123679917,0.22961757038459749,0.1546320708359484,1.0788515026698613,0.890625,0.49781500532823475,0.4437605902337201,0.27209904080955893,0.18984380097862966,0.904225202710625,0.84375,0.6102043655721119
tet_1.05,2.0,q_only,10,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.13833678139402245,3.028097286701692e-05,0.4043279893400557,0.20412403246187155,0.1578857155368571,1.2680308424113274,0.84375,0.5423610677820456,0.4587129369755483,0.2975952565555735,0.24081578769206913,0.6690494919931361,0.765625,0.7954700300194073
tet_1.05,2.0,xyz_only,5,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.12453916455145728,6.809710828560379e-05,0.11300474689087613,0.13446491958448725,0.09074984924444318,-0.23647612499685453,0.46875,0.3037787192447379,0.0029582247931207555,0.26137667313446145,0.21561682283781522,-1.198507820210865,0.0,0.6941655154204008
tet_1.05,5.0,score_q,3,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.2155131717826017,9.97431075521631e-05,0.6081736315827387,0.26079374634753194,0.19510097096751958,1.780513359368458,0.953125,0.5928100886721367,0.8194898222862004,0.3302038141356598,0.25387499631766003,1.927271354979741,0.96875,0.767925977547024
tet_1.05,5.0,score_iso,7,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.11014031038247064,0.00014111842370895605,0.2497633328476231,0.18805103182362937,0.0983983578012632,0.6271679975392264,0.71875,0.3554851785768193,0.40736965307009027,0.30972539297105717,0.18791884676076864,0.519608659704155,0.71875,0.6621402032652338
tet_1.05,5.0,q_only,4,X1+Y2+Z2,"3-axis:(1, 2, 2)",0.218928377064078,9.080473745915495e-05,0.11700547539631,0.30502775057715,0.22078486423785607,-0.8516085367945698,0.265625,0.7126379418315059,0.026442730355545382,0.38472659187962943,0.2787712504572316,-1.2852252911128863,0.078125,0.9031379395864758
tet_1.05,5.0,xyz_only,5,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.12014552957831558,0.00014483114816745045,0.21000069938627608,0.1671947396734873,0.10880158300665105,0.39343140540316046,0.671875,0.3647443396781029,0.3665602533996581,0.28603656413582557,0.20048806988286114,0.4016383085062285,0.671875,0.6339428618877325
tet_1.05,10.0,score_q,6,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.23315517095731986,0.0002985533803803074,0.559040308616669,0.3428059002336693,0.24861870638309413,0.8697431159863588,0.75,0.770053513321778,0.6569652392970776,0.395601124089936,0.28988611564256195,0.9016096360010206,0.765625,0.8855243115274952
tet_1.05,10.0,score_iso,7,X1+Y1+Z1,"3-axis:(1, 1, 1)",0.1204001645306562,0.0002473444758083818,0.32026141218679405,0.19111016450834406,0.1377215150916954,0.9377710344786937,0.84375,0.4923961287400077,0.3949720893578526,0.24779958663916754,0.1914793075922393,0.7686078697930355,0.765625,0.6270358656289132
tet_1.05,10.0,q_only,5,X1+Y2+Z1,"3-axis:(1, 1, 2)",0.23940072449101377,0.0002647115737857647,0.014246438208425942,0.4253337064176498,0.2631897294766609,-1.5619426678430333,0.015625,0.8558072398262343,0.003848692784942146,0.4392038681072469,0.27187453119891036,-1.6013091531629584,0.0,0.8802915421682281
tet_1.05,10.0,xyz_only,6,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.23315517095731986,0.0002985533803803074,0.559040308616669,0.39154697912972447,0.24651875751337082,0.6794344218499497,0.671875,0.7808575707112175,0.6569652392970776,0.4587352149709718,0.2956305422928661,0.6705329658701465,0.671875,0.895356529324543
tet_1.10,0.0,score_q,8,Z1,"1-axis:(1,)",0.15139921439940826,0.00011271220073669353,0.45271029907149496,0.23155675073145968,0.14777050003817443,1.4966014751347987,0.921875,0.46501344085503027,0.6145678105858645,0.33940408723479787,0.21897434158194867,1.2566025834895964,0.84375,0.7385105834561272
tet_1.10,0.0,score_iso,8,Z1,"1-axis:(1,)",0.15139921439940826,0.00011271220073669353,0.45271029907149496,0.2072308892157489,0.13462774466286642,1.8233939108810742,0.921875,0.46846667932418923,0.6145678105858645,0.26782674622950015,0.19146858191939767,1.8109554104313608,0.9375,0.6319482610478655
tet_1.10,0.0,q_only,8,Z1,"1-axis:(1,)",0.15139921439940826,0.00011271220073669353,0.45271029907149496,0.19524926865359338,0.13486205078465877,1.9090695189493587,0.921875,0.4700063367411437,0.6145678105858645,0.2841284991978805,0.207221692742455,1.5946173733706301,0.90625,0.7174958043425254
tet_1.10,0.0,xyz_only,8,Z1,"1-axis:(1,)",0.15139921439940826,0.00011271220073669353,0.45271029907149496,0.23708763733152105,0.15013971536242326,1.4361467331814555,0.859375,0.5231415801060255,0.6145678105858645,0.32482110600210357,0.2117940000608758,1.368059078628815,0.84375,0.7212674053144627
tet_1.10,1.0,score_q,9,Z1,"1-axis:(1,)",0.08624517398137238,5.8686073929619696e-05,0.06997217534415755,0.09386374614554996,0.0574729529574895,-0.4157011180310915,0.390625,0.1869352321482414,0.2927892383671519,0.2651527527874875,0.2164882621442543,0.12765812476762148,0.5625,0.64278504422609
tet_1.10,1.0,score_iso,9,Z1,"1-axis:(1,)",0.08624517398137238,5.8686073929619696e-05,0.06997217534415755,0.09367645539974745,0.05669122712696209,-0.4181295988193229,0.421875,0.1996852473179157,0.2927892383671519,0.2863706551991029,0.20155829208192624,0.03184479835445461,0.5,0.5734463729628012
tet_1.10,1.0,q_only,7,Z1,"1-axis:(1,)",0.14822329005046256,2.6756523851222664e-05,0.187906169866342,0.1693418720294667,0.09223199692560141,0.2012782814585359,0.59375,0.3135976488131224,0.3087028397450196,0.3603497403107083,0.20716295183840727,-0.24930567993511404,0.4375,0.7222802556250507
tet_1.10,1.0,xyz_only,9,Z1,"1-axis:(1,)",0.08624517398137238,5.8686073929619696e-05,0.06997217534415755,0.09294818673360149,0.066461356154133,-0.3457048233534945,0.46875,0.19881034870977332,0.2927892383671519,0.23894654798010606,0.19838606900753647,0.271403585222151,0.65625,0.632739596512669
tet_1.10,1.5,score_q,5,X1+Y1,"2-axis:(1, 1)",0.10379627243438744,5.1508259652032936e-05,0.03566188355402896,0.10911792402449313,0.06505950935856547,-1.129059244275782,0.09375,0.2382882024039098,0.1612471094543809,0.23771742951148667,0.2261895607561586,-0.33808067799913083,0.453125,0.7183025729085029
tet_1.10,1.5,score_iso,10,Z1,"1-axis:(1,)",0.05171921574656307,7.259465875603311e-05,0.014841538777047832,0.07543728152281476,0.04732173617764604,-1.2805054851962678,0.03125,0.15581823522500388,0.07626236477140089,0.25493512184625194,0.18533670302427876,-0.9640441108444732,0.203125,0.6370903614198258
tet_1.10,1.5,q_only,9,X1+Y1+Z2,"3-axis:(1, 1, 2)",0.1232537176712391,4.1272660481813875e-05,0.42816405281502173,0.20490135803833515,0.13973080260185133,1.5978058568177915,0.921875,0.46245777833778373,0.48498754164444785,0.25439419143673486,0.18090631468108198,1.2746561700344687,0.875,0.5789148335244074
tet_1.10,1.5,xyz_only,10,Z1,"1-axis:(1,)",0.05171921574656307,7.259465875603311e-05,0.014841538777047832,0.0804848714864361,0.041101810600143736,-1.5970910222519885,0.015625,0.14695026391555016,0.07626236477140089,0.2795646186024769,0.20088260542538816,-1.012045086728898,0.109375,0.6447619949797054
