geometry,beta,criterion,winner_family,support_degree,mean_boundary,center_frac,opp_edge,neck_floor_z,pred_support_degree,correct,distance
ortho_1.20_1.50,1.5,q_only,"3-axis:(1, 1, 1)",3,1.416460170210019,0.0078684105282291,1.0,0.8411334303261296,3,True,1.6312573386501423
ortho_1.20_1.50,1.5,xyz_only,"3-axis:(1, 2, 2)",3,1.2984852137608542,0.0356180220294456,0.9375,-0.556391288293408,3,True,1.245448465085461
ortho_1.20_1.50,2.0,score_q,"3-axis:(1, 1, 2)",3,1.0497185599209948,0.036612568440934,0.5208333333333334,-0.5342246599723458,3,True,0.831049206116457
ortho_1.20_1.50,2.0,score_iso,"3-axis:(1, 1, 2)",3,1.204746170183191,0.0647191013028853,0.5833333333333334,0.2838770067936053,3,True,0.46757815311248196
ortho_1.20_1.50,2.0,q_only,"3-axis:(1, 2, 2)",3,0.9662515145100518,0.0082823494971512,1.0,0.7336858955982452,3,True,1.47277192102182
ortho_1.20_1.50,2.0,xyz_only,"3-axis:(1, 1, 2)",3,1.0497185599209948,0.036612568440934,0.5208333333333334,-0.5342246599723458,3,True,0.831049206116457
ortho_1.20_1.50,5.0,score_q,"3-axis:(1, 1, 1)",3,0.3353613845744549,0.0533471995400923,0.1458333333333333,-0.8087156222427521,3,True,1.653601439293494
ortho_1.20_1.50,5.0,score_iso,"3-axis:(1, 1, 2)",3,0.3021277529533313,0.0560161124603676,0.1458333333333333,-0.05796674512840721,3,True,1.3508818201531954
ortho_1.20_1.50,5.0,q_only,"3-axis:(1, 2, 2)",3,0.1169666489924256,0.0144848568785891,0.7291666666666666,-0.5027279979705871,3,True,1.1056216416285598
ortho_1.20_1.50,5.0,xyz_only,"3-axis:(1, 1, 1)",3,0.3353613845744549,0.0533471995400923,0.125,-0.8087156222427521,3,True,1.6970254827272573
ortho_1.20_1.50,10.0,score_q,"3-axis:(1, 1, 2)",3,0.0972194272089028,0.0496444035630671,0.4375,-0.9615920102865461,3,True,1.4033928222298024
ortho_1.20_1.50,10.0,score_iso,"3-axis:(1, 1, 1)",3,0.0909233892439605,0.0509136289278829,0.3958333333333333,-0.13634056366055503,3,True,0.9087159747507867
