case,label,y,I_norm
coherent_baseline,kohärent,-0.34021428571428575,0.015915255875005585
coherent_baseline,kohärent,-0.33942857142857147,0.015579805467394143
coherent_baseline,kohärent,-0.3386428571428572,0.015266945493458523
coherent_baseline,kohärent,-0.33785714285714286,0.014978672815576157
coherent_baseline,kohärent,-0.3370714285714286,0.014716910484274676
coherent_baseline,kohärent,-0.3362857142857143,0.014483499652097285
coherent_baseline,kohärent,-0.3355,0.014280191747987102
coherent_baseline,kohärent,-0.33471428571428574,0.014108640945269521
coherent_baseline,kohärent,-0.33392857142857146,0.013970396955534642
coherent_baseline,kohärent,-0.3331428571428572,0.013866898179817146
coherent_baseline,kohärent,-0.3323571428571429,0.013799465247431895
coherent_baseline,kohärent,-0.33157142857142863,0.013769294971678109
coherent_baseline,kohärent,-0.33078571428571435,0.013777454750343173
coherent_baseline,kohärent,-0.33000000000000007,0.013824877437554993
coherent_baseline,kohärent,-0.32921428571428574,0.013912356712023032
coherent_baseline,kohärent,-0.32842857142857146,0.014040542965103578
coherent_baseline,kohärent,-0.3276428571428572,0.014209939730411215
coherent_baseline,kohärent,-0.3268571428571429,0.014420900674884453
coherent_baseline,kohärent,-0.32607142857142857,0.014673627169316108
coherent_baseline,kohärent,-0.3252857142857143,0.014968166454362088
coherent_baseline,kohärent,-0.3245,0.015304410415979996
coherent_baseline,kohärent,-0.32371428571428573,0.01568209498209786
coherent_baseline,kohärent,-0.32292857142857145,0.016100800150105985
coherent_baseline,kohärent,-0.3221428571428572,0.016559950652496776
coherent_baseline,kohärent,-0.3213571428571429,0.017058817265648816
coherent_baseline,kohärent,-0.3205714285714286,0.017596518764390386
coherent_baseline,kohärent,-0.31978571428571434,0.018172024522572407
coherent_baseline,kohärent,-0.31900000000000006,0.018784157757448145
coherent_baseline,kohärent,-0.3182142857142858,0.01943159941320844
coherent_baseline,kohärent,-0.3174285714285715,0.020112892676557248
coherent_baseline,kohärent,-0.31664285714285717,0.020826448114749114
coherent_baseline,kohärent,-0.3158571428571429,0.021570549424048763
coherent_baseline,kohärent,-0.3150714285714286,0.022343359774133605
coherent_baseline,kohärent,-0.3142857142857143,0.023142928731537053
coherent_baseline,kohärent,-0.3135,0.02396719974284473
coherent_baseline,kohärent,-0.3127142857142857,0.024814018156011735
coherent_baseline,kohärent,-0.31192857142857144,0.02568113975587211
coherent_baseline,kohärent,-0.31114285714285717,0.026566239787679163
coherent_baseline,kohärent,-0.3103571428571429,0.027466922440344554
coherent_baseline,kohärent,-0.3095714285714286,0.028380730758953938
coherent_baseline,kohärent,-0.30878571428571433,0.02930515695413125
coherent_baseline,kohärent,-0.30800000000000005,0.030237653073906506
coherent_baseline,kohärent,-0.3072142857142858,0.03117564200192986
coherent_baseline,kohärent,-0.3064285714285715,0.03211652874416854
coherent_baseline,kohärent,-0.3056428571428572,0.03305771196463153
coherent_baseline,kohärent,-0.3048571428571429,0.0339965957291993
coherent_baseline,kohärent,-0.3040714285714286,0.0349306014152948
coherent_baseline,kohärent,-0.3032857142857143,0.03585717974392977
coherent_baseline,kohärent,-0.30250000000000005,0.03677382288959307
coherent_baseline,kohärent,-0.3017142857142857,0.03767807662253281
coherent_baseline,kohärent,-0.30092857142857143,0.03856755243721655
coherent_baseline,kohärent,-0.30014285714285716,0.039439939620144096
coherent_baseline,kohärent,-0.2993571428571429,0.04029301720973578
