geometry,beta,consensus_family,consensus_count,consensus_q,consensus_q_count,mean_boundary,mean_q,mean_xyz
tet_1.10,0.0,"1-axis:(1,)",4,Z1,3,3.5682866505481665,0.39411038276219806,0.00021403759433382652
tet_1.10,0.25,"1-axis:(1,)",4,Z1,3,3.286256285615801,0.3372931428765492,0.00019133116753706564
tet_1.10,0.5,"1-axis:(1,)",4,Z1,3,3.0057602881304404,0.2543172200847578,0.00017146508102684093
tet_1.10,0.75,"1-axis:(1,)",4,Z1,3,2.734979578435626,0.18939847851554234,0.0001532180492310631
tet_1.10,1.0,"1-axis:(1,)",4,Z1,3,2.479697698175718,0.14575426190383203,0.00013066225822198023
tet_1.10,1.5,"2-axis:(1, 2)",2,X1+Y2,2,1.8536928358574998,0.1024470455855248,0.00011448252086408567
tet_1.10,2.0,"3-axis:(1, 1, 2)",4,X1+Y1+Z2,3,1.5356633060086926,0.12963779723384158,0.00014071963835917133
tet_1.10,3.0,"3-axis:(1, 1, 2)",2,X1+Y1+Z2,2,1.07820548898753,0.15896258099328175,0.00018257342669688182
tet_1.10,4.0,"3-axis:(1, 1, 2)",3,X1+Y2+Z1,2,0.6366047072157615,0.16450020970951257,0.00018466799571769342
tet_1.10,5.0,"3-axis:(1, 1, 2)",2,X1+Y2+Z1,2,0.419651830697252,0.1447864743334656,0.00021394911413014555
tet_1.10,7.0,"3-axis:(1, 1, 1)",2,X1+Y1+Z1,2,0.2773697577233142,0.15857119893550267,0.000291040150969932
tet_1.10,10.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,3,0.12261556566064528,0.14095251208959567,0.00043350280158550674
tet_1.20,0.0,"1-axis:(1,)",4,Z1,4,3.4780021899913764,0.4149556841819935,0.0002112399709664248
tet_1.20,0.25,"1-axis:(1,)",4,Z1,3,3.193735837958517,0.3256703782162451,0.00019186494118306224
tet_1.20,0.5,"1-axis:(1,)",4,Z1,3,2.91175851114025,0.2645943754386588,0.00016838361258050746
tet_1.20,0.75,"1-axis:(1,)",3,Z1,3,2.507355796035617,0.20852101236142592,0.00011239644884396301
tet_1.20,1.0,"1-axis:(1,)",4,Z1,3,2.3839976215332976,0.13895728333477889,0.0001321106388059005
tet_1.20,1.5,"1-axis:(1,)",1,X1+Y1+Z1,1,1.6701187429495352,0.10493499974556542,0.0001011019631924302
tet_1.20,2.0,"3-axis:(1, 1, 2)",3,X1+Y1+Z2,3,1.5443686985819354,0.1311717576383094,0.00017224386628913378
