geometry,beta,criterion,num_deg_clusters,max_cluster_size,family_mode,family_mode_count,family_mode_frac,exact_q_mode,exact_q_mode_count,exact_q_mode_frac,n_unique_families,n_unique_exact_q
tet_1.50,0.5,consensus,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.50,1.0,score_q,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.50,1.0,score_iso,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.50,1.0,consensus,6,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.50,1.5,score_q,2,2,"3-axis:(1, 1, 2)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.50,1.5,score_iso,2,2,"1-axis:(1,)",12,1.0,Z1,12,1.0,1,1
tet_1.50,1.5,consensus,2,2,"1-axis:(1,)",12,1.0,X1+Y1+Z2,12,1.0,1,1
tet_1.50,2.0,score_q,6,2,"3-axis:(1, 1, 1)",8,0.6666666666666666,X1+Y1+Z1,8,0.6666666666666666,3,3
tet_1.50,2.0,score_iso,6,2,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
tet_1.50,2.0,consensus,6,2,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
tet_1.50,5.0,score_q,6,2,"3-axis:(1, 1, 2)",11,0.9166666666666666,X1+Y1+Z2,9,0.75,2,3
tet_1.50,5.0,score_iso,6,2,"3-axis:(1, 2, 2)",12,1.0,X1+Y2+Z2,12,1.0,1,1
tet_1.50,5.0,consensus,6,2,"3-axis:(1, 1, 2)",11,0.9166666666666666,X1+Y1+Z2,9,0.75,2,3
tet_1.50,10.0,score_q,6,2,"3-axis:(1, 1, 2)",7,0.5833333333333334,X1+Y2+Z1,6,0.5,2,3
tet_1.50,10.0,score_iso,6,2,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
tet_1.50,10.0,consensus,6,2,"3-axis:(1, 1, 1)",12,1.0,X1+Y1+Z1,12,1.0,1,1
