geometry,beta,branch_id,parent_branch_id,branch_overlap_prev,local_mode_index,eigenvalue,dominant_q,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,score_q_only,score_xyz_only
cubic,1.0,10,10,0.7868082642345152,8,5.806688711160977,X1+Y1+Z1,0.12852736414453222,3.7564738028530245e-05,0.7680487318700074,1.618863166238372,4.828096763586864e-06,2.88515494058417e-05,0.12852736414453222,3.7564738028530245e-05
cubic,1.0,11,11,0.9131109644464205,9,5.8066887111609855,X1+Y1+Z2,0.17422990585083012,1.1103785273428545e-05,0.8822323207767689,1.6188631662383681,1.9346114627772895e-06,9.796118251183775e-06,0.17422990585083012,1.1103785273428545e-05
cubic,1.0,9,9,0.7039005151910421,10,5.806688711161016,X1+Y2+Z1,0.19596810203249665,8.158501949205449e-06,0.7393725982179677,1.6188631662383663,1.5988061424142161e-06,6.032172783750387e-06,0.19596810203249665,8.158501949205449e-06
cubic,1.0,8,8,0.9982024950349434,11,5.835146226848568,Z1,0.08101503670650535,5.999032504472852e-05,0.9999999999999916,2.293401573286698,4.860118385533868e-06,5.999032504472801e-05,0.08101503670650535,5.999032504472852e-05
cubic,1.0,13,13,0.6313968640193792,12,7.329338834023492,X1+Y1+Z1,0.1532090408727434,9.888683684069676e-05,0.44651842022408833,2.106671343879818,1.5150357427302617e-05,4.4154794167065095e-05,0.1532090408727434,9.888683684069676e-05
cubic,1.0,12,12,0.5297119860195255,13,7.329338834023536,X1+Y2+Z1,0.12978170411746298,9.217921170980046e-05,0.3228914734558968,2.1066713438792326,1.1963175179902303e-05,2.9763881490980526e-05,0.12978170411746298,9.217921170980046e-05
cubic,1.0,14,14,0.4749753277364546,14,7.329338834023547,X1+Y1+Z2,0.15668259314889404,9.042406931627718e-05,0.44563515876808646,2.1066713438799303,1.416787766354965e-05,4.029614448621564e-05,0.15668259314889404,9.042406931627718e-05
cubic,1.0,18,18,0.7697670780262383,15,8.85198895688598,X1+Z1,0.10865309324293151,0.00017442207036426103,0.351057582700872,2.5944795215212544,1.8951497474913215e-05,6.123219039175888e-05,0.10865309324293151,0.00017442207036426103
cubic,1.0,17,17,0.7806292449876189,16,8.851988956886048,X1+Z2,0.1226692826473306,0.0001473465392373565,0.33620148954793166,2.594479521586506,1.8074894268813274e-05,4.953812597133202e-05,0.1226692826473306,0.0001473465392373565
cubic,1.0,16,16,0.8130522648280124,17,8.85198895688689,Y1,0.13116099217936328,0.00015705385070241602,0.5102246627955573,2.5944796550877816,2.0599338883718475e-05,8.013274801538402e-05,0.13116099217936328,0.00015705385070241602
cubic,1.0,19,19,0.09220100904061111,18,10.346181564060911,X1+Y2+Z1,0.15851274086383085,6.496541463267047e-05,0.8034588324877893,2.40774929211439,1.0297845934779819e-05,5.219703619285056e-05,0.15851274086383085,6.496541463267047e-05
cubic,1.0,20,20,0.8676374018511885,19,10.346181564060927,X1+Y2+Z2,0.19761499421448467,4.514763503446171e-05,0.842909464198908,2.4077492921143904,8.921849636132816e-06,3.805536885674596e-05,0.19761499421448467,4.514763503446171e-05
cubic,1.0,15,15,0.0008823246204434645,20,10.44692801665323,X1+Y1+Z2,0.1825003808451907,5.174230783291349e-05,0.6316882655392075,1.7270428059299223,9.442990885315806e-06,3.268500868996887e-05,0.1825003808451907,5.174230783291349e-05
