geometry,beta,local_mode_index,eigenvalue,variant,dominant_q,q_family,q_contrast,mean_abs_xyz,field_anisotropy,boundary_ratio,score_q,score_iso,score_q_only,score_xyz_only
cubic,0.0,5,1.9214719596769054,y+_r1,X1+Y2+Z2,"3-axis:(1, 2, 2)",2.2302059234445403e-11,3.630662268504984e-13,0.22882228167234106,3.1009816001187978,8.097124497246406e-24,8.307764242609882e-14,2.2302059234445403e-11,3.630662268504984e-13
cubic,0.0,5,1.9214719596769054,z+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.5228270555820218e-11,3.3466200319179837e-13,0.22882228167234106,3.1009816001187978,5.0963235293574745e-24,7.65781231593836e-14,1.5228270555820218e-11,3.3466200319179837e-13
cubic,0.0,5,1.9214719596769054,xy+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",3.073648322457593e-11,4.0499229976324034e-13,0.22882228167234106,3.1009816001187978,1.2448039027755263e-23,9.267126209155336e-14,3.073648322457593e-11,4.0499229976324034e-13
cubic,0.0,5,1.9214719596769054,xz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.9402978306643316e-11,3.187400525768526e-13,0.22882228167234106,3.1009816001187978,6.184506325607021e-24,7.293482609099736e-14,1.9402978306643316e-11,3.187400525768526e-13
cubic,0.0,5,1.9214719596769054,yz+_r1,X1,"1-axis:(1,)",1.75681261517917e-11,3.735276514493932e-13,0.22882228167234106,3.1009816001187978,6.562180901845419e-24,8.547144947236109e-14,1.75681261517917e-11,3.735276514493932e-13
cubic,0.0,5,1.9214719596769054,xyz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.7502949764994845e-11,3.663286855532519e-13,0.22882228167234106,3.1009816001187978,6.411832580715161e-24,8.382416567032466e-14,1.7502949764994845e-11,3.663286855532519e-13
cubic,0.0,5,1.9214719596769054,base_r2,X1+Y1+Z2,"3-axis:(1, 1, 2)",3.4078301224878625e-10,1.3046888090054011e-12,0.22882228167234106,3.1009816001187978,4.446157823801419e-22,2.985418701489851e-13,3.4078301224878625e-10,1.3046888090054011e-12
cubic,0.0,5,1.9214719596769054,base_avg12,X1+Y2+Z1,"3-axis:(1, 1, 2)",1.2530629734120736e-10,8.030407589501615e-13,0.22882228167234106,3.1009816001187978,1.0062606411811776e-22,1.8375361873886438e-13,1.2530629734120736e-10,8.030407589501615e-13
cubic,0.0,6,1.9214719596769345,base_r1,X1+Y2+Z1,"3-axis:(1, 1, 2)",1.3072860577873973e-12,8.021461315353168e-14,0.42489433664153553,3.1009816001172252,1.0486344540642154e-25,3.4082734844827234e-14,1.3072860577873973e-12,8.021461315353168e-14
cubic,0.0,6,1.9214719596769345,x+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.4802705703287754e-12,9.381929771230607e-14,0.42489433664153553,3.1009816001172252,1.3887794533244049e-25,3.9863288265645024e-14,1.4802705703287754e-12,9.381929771230607e-14
cubic,0.0,6,1.9214719596769345,y+_r1,X1+Y2+Z2,"3-axis:(1, 2, 2)",1.2371973016635514e-12,8.551381867036223e-14,0.42489433664153553,3.1009816001172252,1.0579746571391837e-25,3.6334337257628116e-14,1.2371973016635514e-12,8.551381867036223e-14
cubic,0.0,6,1.9214719596769345,z+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",8.447852026322573e-13,7.882427670970862e-14,0.42489433664153553,3.1009816001172252,6.658958257255231e-26,3.3491988763820484e-14,8.447852026322573e-13,7.882427670970862e-14
cubic,0.0,6,1.9214719596769345,xy+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.7052091806478108e-12,9.538930352225529e-14,0.42489433664153553,3.1009816001172252,1.6265871610175027e-25,4.053037484278675e-14,1.7052091806478108e-12,9.538930352225529e-14
cubic,0.0,6,1.9214719596769345,xz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.0764195566234574e-12,7.507327650803312e-14,0.42489433664153553,3.1009816001172252,8.081034301304723e-26,3.18982100213873e-14,1.0764195566234574e-12,7.507327650803312e-14
cubic,0.0,6,1.9214719596769345,yz+_r1,X1,"1-axis:(1,)",9.746421004771097e-13,8.797844863251064e-14,0.42489433664153553,3.1009816001172252,8.574749997190767e-26,3.738154457046202e-14,9.746421004771097e-13,8.797844863251064e-14
cubic,0.0,6,1.9214719596769345,xyz+_r1,X1+Y1+Z2,"3-axis:(1, 1, 2)",9.70986578341203e-13,8.628176433956095e-14,0.42489433664153553,3.1009816001172252,8.377843512931231e-26,3.666063302331904e-14,9.70986578341203e-13,8.628176433956095e-14
cubic,0.0,6,1.9214719596769345,base_r2,X1+Y1+Z2,"3-axis:(1, 1, 2)",1.8905376975942834e-11,3.072955331794565e-13,0.42489433664153553,3.1009816001172252,5.809537897780974e-24,1.3056813172319214e-13,1.8905376975942834e-11,3.072955331794565e-13
cubic,0.0,6,1.9214719596769345,base_avg12,X1+Y2+Z1,"3-axis:(1, 1, 2)",6.9513196105043715e-12,1.8914160218329716e-13,0.42489433664153553,3.1009816001172252,1.31478372841897e-24,8.036519559098926e-14,6.9513196105043715e-12,1.8914160218329716e-13
