x,y,u_abs,u_abs_norm,carrier_ge_075,transition_077_085
0.04040404040404041,-0.216,0.0002706521672396348,0.912874704224628,1,0
0.04040404040404041,-0.2057142857142857,0.0002777007136061957,0.9366485381651145,1,0
0.04040404040404041,-0.19542857142857142,0.0002710456143640781,0.9142017504146412,1,0
0.04040404040404041,-0.18514285714285714,0.0002520260507171886,0.8500512257182585,1,0
0.04040404040404041,-0.17485714285714285,0.00022342967947071773,0.753599369412203,1,0
0.04040404040404041,-0.16457142857142856,0.0001892652882181273,0.6383673028161526,0,0
0.04040404040404041,-0.15428571428571428,0.00015451576570680905,0.5211616642727888,0,0
0.04040404040404041,-0.144,0.000124747175227474,0.4207560643244744,0,0
0.04040404040404041,-0.1337142857142857,0.00010484457224020925,0.3536271623075432,0,0
0.04040404040404041,-0.12342857142857142,9.596326407438045e-05,0.3236716602042463,0,0
0.04040404040404041,-0.11314285714285716,9.377824800742671e-05,0.31630188402181364,0,0
0.04040404040404041,-0.10285714285714287,9.229322698778476e-05,0.3112931004680033,0,0
0.04040404040404041,-0.09257142857142858,8.816752958274747e-05,0.2973776574964748,0,0
0.04040404040404041,-0.0822857142857143,8.172143311787284e-05,0.27563580904282564,0,0
0.04040404040404041,-0.07200000000000001,7.653088401582483e-05,0.2581287592208296,0,0
0.04040404040404041,-0.06171428571428572,7.77448363809477e-05,0.26222326331276674,0,0
0.04040404040404041,-0.051428571428571435,8.772713853739965e-05,0.29589227554160163,0,0
0.04040404040404041,-0.04114285714285715,0.0001037129430934459,0.34981032376832355,0,0
0.04040404040404041,-0.03085714285714286,0.00012102766798206241,0.40821064815010416,0,0
0.04040404040404041,-0.020571428571428574,0.00013585374329404506,0.4582170798490417,0,0
0.04040404040404041,-0.010285714285714287,0.0001456797115372139,0.4913587980373222,0,0
0.04040404040404041,0.0,0.0001491049544161909,0.5029116986179231,0,0
0.04040404040404041,0.010285714285714287,0.00014567971153721423,0.4913587980373233,0,0
0.04040404040404041,0.020571428571428574,0.00013585374329404593,0.45821707984904464,0,0
0.04040404040404041,0.03085714285714286,0.00012102766798206318,0.4082106481501067,0,0
0.04040404040404041,0.04114285714285715,0.00010371294309344688,0.3498103237683269,0,0
0.04040404040404041,0.051428571428571435,8.772713853740099e-05,0.29589227554160613,0,0
0.04040404040404041,0.06171428571428572,7.77448363809495e-05,0.2622232633127728,0,0
0.04040404040404041,0.07200000000000001,7.653088401582684e-05,0.2581287592208364,0,0
0.04040404040404041,0.0822857142857143,8.172143311787463e-05,0.2756358090428317,0,0
0.04040404040404041,0.09257142857142858,8.816752958274885e-05,0.2973776574964795,0,0
0.04040404040404041,0.10285714285714287,9.22932269877856e-05,0.3112931004680061,0,0
0.04040404040404041,0.11314285714285716,9.377824800742701e-05,0.31630188402181464,0,0
0.04040404040404041,0.12342857142857144,9.596326407438018e-05,0.3236716602042454,0,0
0.04040404040404041,0.13371428571428567,0.00010484457224020844,0.3536271623075405,0,0
0.04040404040404041,0.14400000000000002,0.0001247471752274728,0.4207560643244703,0,0
0.04040404040404041,0.15428571428571425,0.00015451576570680773,0.5211616642727843,0,0
0.04040404040404041,0.1645714285714286,0.00018926528821812595,0.6383673028161481,0,0
0.04040404040404041,0.17485714285714282,0.00022342967947071638,0.7535993694121984,1,0
0.04040404040404041,0.18514285714285716,0.00025202605071718726,0.850051225718254,1,0
0.04040404040404041,0.1954285714285714,0.0002710456143640767,0.9142017504146366,1,0
0.04040404040404041,0.20571428571428574,0.0002777007136061943,0.9366485381651097,1,0
0.04040404040404041,0.21599999999999997,0.0002706521672396333,0.9128747042246229,1,0
0.04040404040404041,0.2262857142857143,0.0002501948512405132,0.8438748270671949,1,1
0.04040404040404041,0.23657142857142854,0.00021840188130748298,0.7366412574267176,0,0
0.04040404040404041,0.24685714285714289,0.00017932074139578836,0.6048256344390697,0,0
0.04040404040404041,0.2571428571428571,0.00013949531199406603,0.4704996194046994,0,0
0.04040404040404041,0.26742857142857146,0.00010895252138674324,0.36748274270196046,0,0
0.04040404040404041,0.2777142857142857,9.876018125486178e-05,0.33310529958690105,0,0
0.04040404040404041,0.28800000000000003,0.0001077413582769917,0.3633976464071162,0,0
0.04040404040404041,0.29828571428571427,0.00012165016367610102,0.4103102454981404,0,0
0.04040404040404041,0.3085714285714285,0.0001291276357997766,0.43553079046131643,0,0
0.04040404040404041,0.31885714285714284,0.00012500742534151776,0.4216338542505819,0,0
0.04040404040404041,0.32914285714285707,0.00010802213657790911,0.3643446752486615,0,0
0.04040404040404041,0.3394285714285714,7.93816049099576e-05,0.2677438715607737,0,0
0.04040404040404041,0.34971428571428564,4.2016481068407704e-05,0.14171614851294445,0,0
0.04040404040404041,0.36,0.0,0.0,0,0
0.05050505050505051,-0.36,0.0,0.0,0,0
0.05050505050505051,-0.3497142857142857,4.945304287468115e-05,0.16679870827437945,0,0
0.05050505050505051,-0.3394285714285714,9.338402685244354e-05,0.3149722271270446,0,0
0.05050505050505051,-0.3291428571428571,0.0001269210060911149,0.4280881142648819,0,0
0.05050505050505051,-0.31885714285714284,0.0001464571263056787,0.49398091735770366,0,0
