geometry,beta,criterion,target,same_sector,carrier_vs_space_sector,same_sector_z,carrier_space_z,transition_combo_z,transition_combo_exc,bw_selected,inner_r,outer_r,gap
tet_1.20,2.0,score_iso,0.67,0.9954689066534373,0.06260972197905235,4.868402700169128,3.9531753713556688,4.410789035762399,1.0,0.003,6.224949798994366,10.331989159885913,4.107039360891546
tet_1.20,2.0,score_iso,0.68,0.9216553999046039,-0.06344806733512909,73893398128.43765,-156248928675.98938,-41177765273.77586,0.5,0.01,6.224949798994366,9.280794297363366,3.055844498369
tet_1.20,2.0,score_iso,0.69,0.9997409847139471,0.07277434995628673,3.6055334140083555,2.0182121865785017,2.8118728002934286,1.0,0.013,7.533259586659682,8.170067319184096,0.6368077325244137
tet_1.20,2.0,score_iso,0.7,0.946767311829836,-0.0399983649445389,290469233397.66077,40898932644.829575,165684083021.24518,1.0,0.007,7.533259586659682,8.72543080827373,1.192171221614048
tet_1.20,2.0,score_iso,0.71,0.7569654391544017,-0.10817451357684016,261632715899.3126,228374615218.9554,245003665559.134,1.0,0.007,7.533259586659682,9.836157786453,2.3028981997933187
tet_1.20,2.0,score_iso,0.72,0.9808873549032873,0.038059994191040225,,,,,0.005,7.38227616473616,10.712142642814275,3.329866478078115
tet_1.20,2.0,score_iso,0.73,0.8470672256686985,-0.10449183361857761,253339021683.9564,154206326718.5283,203772674201.24234,1.0,0.003,7.851663452921889,10.23474474522936,2.3830812923074713
tet_1.20,2.0,score_iso,0.74,0.9333576650234175,-0.008500803468456164,465700732359.70544,314978985102.8457,390339858731.2756,1.0,0.007,6.837397165588672,10.712142642814275,3.874745477225603
tet_1.20,2.0,score_iso,0.75,0.8993919410694221,-0.04310195171646458,244591524472.87402,147007972218.6284,195799748345.75122,1.0,0.005,9.205976319760984,10.712142642814275,1.5061663230532911
tet_1.20,2.0,score_iso,0.76,0.9252338694871096,0.0028908725690247605,246499041741.2868,85417473281.2757,165958257511.28125,1.0,0.003,6.06217782649107,8.645808232895291,2.583630406404221
tet_1.20,2.0,score_iso,0.77,0.8910179460186383,-0.032928318093837006,,,,,0.005,9.205976319760984,10.23474474522936,1.0287684254683764
tet_1.20,2.0,score_iso,0.78,0.8910179460186383,-0.032928318093837006,,,,,0.013,9.205976319760984,10.23474474522936,1.0287684254683764
tet_1.20,2.0,score_iso,0.79,0.9016126206983032,0.005877558225364732,,,,,0.01,8.645808232895291,9.205976319760984,0.5601680868656924
tet_1.20,2.0,score_iso,0.8,0.7363705529243915,-0.15957874930111293,114592986186.19408,15082510016.206196,64837748101.200134,1.0,0.003,7.399324293474371,9.205976319760984,1.8066520262866126
tet_1.20,2.0,score_iso,0.81,0.959254864560057,0.01338359321586502,310228151128.5888,162160746670.30212,236194448899.44547,1.0,0.01,8.230313586421651,10.136567466356647,1.9062538799349955
tet_1.20,2.0,score_iso,0.82,0.9745780535765514,0.028390594043379958,,,,,0.007,7.1627308890261885,9.799309250204956,2.636578361178768
tet_1.20,2.0,score_iso,0.83,0.969430995873173,0.023922236576503164,,,,,0.005,7.1627308890261885,9.630680142129112,2.4679492531029235
